scientific_name,common_name,family,subfamily,tribe,genus,specific_epithet,BM_kg,percent_grass,diet_category,habitat,ref,max_BM_kg_animaldiversity,max_BM_kg_castello,HL_male_cm,HL_female_cm,BM_Lemaitre_etal,male_antler_weight_g,max_BM,interspecific_GM,intraspecific_GM,animaldiversity
Hippotragus_equinus,roan antelope,Bovidae,Hippotraginae,Hippotragini,Hippotragus,equinus,269.9977,85,GR,Open,Schiviz et al (2008),300,300,100,,,,300,,,https://animaldiversity.org/accounts/Hippotragus_equinus/
Oryx_dammah,scimitar-horned oryx,Bovidae,Hippotraginae,Hippotragini,Oryx,dammah,200,75,GR,Open,Stoeckman (1975),200,200,150,,,,200,,,https://animaldiversity.org/accounts/Oryx_dammah/
Oryx_gazella,gemsbok,Bovidae,Hippotraginae,Hippotragini,Oryx,gazella,169.0013,75,GR,Open,Schiviz et al (2008),240,275,150,,,,275,,,https://animaldiversity.org/accounts/Oryx_gazella/
Oryx_beisa,beisa,Bovidae,Hippotraginae,Hippotragini,Oryx,beisa,176,83,GR,Open,Meier et al (2017),,209,90,,,,209,,,https://animaldiversity.org/accounts/Oryx_beisa/
Oryx_leucoryx,Arabian oryx,Bovidae,Hippotraginae,Hippotragini,Oryx,leucoryx,87.7,75,GR,Open,Perez-Barberia and Gordon (2001),210,75,68,,,,210,,,https://animaldiversity.org/accounts/Oryx_leucoryx/
Addax_nasomaculatus,addax,Bovidae,Hippotraginae,Hippotragini,Addax,nasomaculatus,70.0003,80,GR,Open,Clauss et al (2007 CBP),125,125,109,80,,,125,,,https://animaldiversity.org/accounts/Addax_nasomaculatus/
Connochaetes_taurinus,blue wildebeest,Bovidae,Alcelaphinae,Alcelaphini,Connochaetes,taurinus,179.999,87.5,GR,Open,McNab and Eisenberg (1989),270,295,83,40,,,295,,,https://animaldiversity.org/accounts/Connochaetes_taurinus/
Connochaetes_gnou,black wildebeest/white-tailed gnu,Bovidae,Alcelaphinae,Alcelaphini,Connochaetes,gnou,179.999,81,GR,Open,Mendoza et al (2006),157,180,78,,,,180,,,https://animaldiversity.org/accounts/Connochaetes_gnou/
Damaliscus_pygargus,blesbok/bontebok,Bovidae,Alcelaphinae,Alcelaphini,Damaliscus,pygargus,102,100,GR,Open,Pihlstroem et al (2005),80,86,36,33,,,102,,,https://animaldiversity.org/accounts/Damaliscus_pygargus/
Damaliscus_lunatus,topi/tsessebe,Bovidae,Alcelaphinae,Alcelaphini,Damaliscus,lunatus,136.0003,99.3,GR,Open,Mendoza et al (2006),147,140,40,37,,,147,,,https://animaldiversity.org/accounts/Damaliscus_lunatus/
Damaliscus_korrigum,topi,Bovidae,Alcelaphinae,Alcelaphini,Damaliscus,korrigum,102,99.3,GR,Open,Clauss et al (2003 Oikos),,136,84,,,,136,,,https://animaldiversity.org/accounts/Damaliscus_korrigum/
Beatragus_hunteri,hirola/Hunter's hartebeest,Bovidae,Alcelaphinae,Alcelaphini,Beatragus,hunteri,80,90,GR,Open,Mendoza et al (2006),155,118,60,49,,,155,,,https://animaldiversity.org/accounts/Beatragus_hunteri/
Alcelaphus_buselaphus,hartebeest,Bovidae,Alcelaphinae,Alcelaphini,Alcelaphus,buselaphus,171.0015,97,GR,Open,Crile and Quiring (1940),200,,,,,,200,,,https://animaldiversity.org/accounts/Alcelaphus_buselaphus/
Pelea_capreolus,common rhebok,Bovidae,Reduncinae,Peleini,Pelea,capreolus,20,7,BR,Open,Mendoza et al (2006),30,30,29,,,,30,,,https://animaldiversity.org/accounts/Pelea_capreolus/
